COMMUNITY,year,hour,FIRST_CRASH_TYPE,crash_count
ALBANY PARK,2015,0,PARKED MOTOR VEHICLE,1
ALBANY PARK,2015,1,SIDESWIPE SAME DIRECTION,1
ALBANY PARK,2015,3,PARKED MOTOR VEHICLE,1
ALBANY PARK,2015,4,PARKED MOTOR VEHICLE,1
ALBANY PARK,2015,5,TURNING,1
ALBANY PARK,2015,6,PARKED MOTOR VEHICLE,1
ALBANY PARK,2015,7,REAR END,3
ALBANY PARK,2015,7,SIDESWIPE SAME DIRECTION,1
ALBANY PARK,2015,9,ANGLE,2
ALBANY PARK,2015,9,PARKED MOTOR VEHICLE,1
ALBANY PARK,2015,9,TURNING,1
ALBANY PARK,2015,11,PARKED MOTOR VEHICLE,1
ALBANY PARK,2015,12,TURNING,1
ALBANY PARK,2015,13,REAR END,1
ALBANY PARK,2015,13,SIDESWIPE SAME DIRECTION,2
ALBANY PARK,2015,13,TURNING,1
ALBANY PARK,2015,14,REAR END,1
ALBANY PARK,2015,14,SIDESWIPE SAME DIRECTION,1
ALBANY PARK,2015,15,PARKED MOTOR VEHICLE,1
ALBANY PARK,2015,15,REAR END,1
ALBANY PARK,2015,15,TURNING,1
ALBANY PARK,2015,16,ANGLE,1
ALBANY PARK,2015,16,PARKED MOTOR VEHICLE,1
ALBANY PARK,2015,16,PEDESTRIAN,1
ALBANY PARK,2015,16,REAR END,3
ALBANY PARK,2015,16,SIDESWIPE SAME DIRECTION,3
ALBANY PARK,2015,17,SIDESWIPE SAME DIRECTION,1
ALBANY PARK,2015,17,TURNING,5
ALBANY PARK,2015,18,REAR END,1
ALBANY PARK,2015,19,PARKED MOTOR VEHICLE,2
ALBANY PARK,2015,19,REAR END,1
ALBANY PARK,2015,19,SIDESWIPE SAME DIRECTION,1
ALBANY PARK,2015,20,ANGLE,2
ALBANY PARK,2015,20,PARKED MOTOR VEHICLE,1
ALBANY PARK,2015,20,PEDESTRIAN,1
ALBANY PARK,2015,20,TURNING,1
ALBANY PARK,2015,21,ANGLE,1
ALBANY PARK,2015,22,ANGLE,2
ALBANY PARK,2015,22,PARKED MOTOR VEHICLE,1
ALBANY PARK,2015,23,REAR END,2
ALBANY PARK,2015,23,SIDESWIPE SAME DIRECTION,1
ALBANY PARK,2015,23,TURNING,1
ALBANY PARK,2016,0,PARKED MOTOR VEHICLE,2
ALBANY PARK,2016,0,REAR END,4
ALBANY PARK,2016,1,PARKED MOTOR VEHICLE,1
ALBANY PARK,2016,2,ANGLE,1
ALBANY PARK,2016,2,PARKED MOTOR VEHICLE,2
ALBANY PARK,2016,2,REAR END,1
ALBANY PARK,2016,3,PEDESTRIAN,1
ALBANY PARK,2016,4,REAR END,1
ALBANY PARK,2016,5,PARKED MOTOR VEHICLE,3
ALBANY PARK,2016,5,REAR END,3
ALBANY PARK,2016,6,ANGLE,2
ALBANY PARK,2016,6,PARKED MOTOR VEHICLE,1
ALBANY PARK,2016,6,PEDESTRIAN,1
ALBANY PARK,2016,6,REAR END,1
ALBANY PARK,2016,6,SIDESWIPE SAME DIRECTION,1
ALBANY PARK,2016,7,REAR END,3
ALBANY PARK,2016,7,TURNING,1
ALBANY PARK,2016,8,ANGLE,2
ALBANY PARK,2016,8,FIXED OBJECT,1
ALBANY PARK,2016,8,PARKED MOTOR VEHICLE,5
ALBANY PARK,2016,8,REAR END,3
ALBANY PARK,2016,8,SIDESWIPE SAME DIRECTION,2
ALBANY PARK,2016,9,ANGLE,2
ALBANY PARK,2016,9,PARKED MOTOR VEHICLE,4
ALBANY PARK,2016,9,REAR END,1
ALBANY PARK,2016,9,TURNING,2
ALBANY PARK,2016,10,PARKED MOTOR VEHICLE,2
ALBANY PARK,2016,10,REAR END,2
ALBANY PARK,2016,10,SIDESWIPE SAME DIRECTION,1
ALBANY PARK,2016,10,TURNING,2
ALBANY PARK,2016,11,ANGLE,2
ALBANY PARK,2016,11,PARKED MOTOR VEHICLE,4
ALBANY PARK,2016,11,PEDALCYCLIST,1
ALBANY PARK,2016,11,PEDESTRIAN,1
ALBANY PARK,2016,11,REAR END,3
ALBANY PARK,2016,11,SIDESWIPE SAME DIRECTION,1
ALBANY PARK,2016,11,TURNING,3
ALBANY PARK,2016,12,ANGLE,1
ALBANY PARK,2016,12,PARKED MOTOR VEHICLE,6
ALBANY PARK,2016,12,REAR END,2
ALBANY PARK,2016,12,SIDESWIPE OPPOSITE DIRECTION,1
ALBANY PARK,2016,12,SIDESWIPE SAME DIRECTION,2
ALBANY PARK,2016,12,TURNING,1
ALBANY PARK,2016,13,ANGLE,7
ALBANY PARK,2016,13,HEAD ON,1
ALBANY PARK,2016,13,OTHER OBJECT,1
ALBANY PARK,2016,13,PARKED MOTOR VEHICLE,9
ALBANY PARK,2016,13,REAR END,13
ALBANY PARK,2016,13,SIDESWIPE SAME DIRECTION,5
ALBANY PARK,2016,13,TURNING,5
ALBANY PARK,2016,14,ANGLE,4
ALBANY PARK,2016,14,HEAD ON,1
ALBANY PARK,2016,14,PARKED MOTOR VEHICLE,6
ALBANY PARK,2016,14,PEDALCYCLIST,2
ALBANY PARK,2016,14,PEDESTRIAN,1
ALBANY PARK,2016,14,REAR END,10
ALBANY PARK,2016,14,SIDESWIPE OPPOSITE DIRECTION,1
ALBANY PARK,2016,14,SIDESWIPE SAME DIRECTION,4
ALBANY PARK,2016,14,TURNING,3
ALBANY PARK,2016,15,ANGLE,5
ALBANY PARK,2016,15,HEAD ON,2
ALBANY PARK,2016,15,PARKED MOTOR VEHICLE,6
ALBANY PARK,2016,15,PEDALCYCLIST,1
ALBANY PARK,2016,15,REAR END,11
ALBANY PARK,2016,15,SIDESWIPE SAME DIRECTION,7
ALBANY PARK,2016,15,TURNING,1
ALBANY PARK,2016,16,ANGLE,1
ALBANY PARK,2016,16,PARKED MOTOR VEHICLE,11
ALBANY PARK,2016,16,PEDESTRIAN,1
ALBANY PARK,2016,16,REAR END,6
ALBANY PARK,2016,16,SIDESWIPE SAME DIRECTION,3
ALBANY PARK,2016,16,TURNING,2
ALBANY PARK,2016,17,ANGLE,6
ALBANY PARK,2016,17,HEAD ON,1
ALBANY PARK,2016,17,PARKED MOTOR VEHICLE,7
ALBANY PARK,2016,17,PEDALCYCLIST,1
ALBANY PARK,2016,17,PEDESTRIAN,1
ALBANY PARK,2016,17,REAR END,6
ALBANY PARK,2016,17,SIDESWIPE SAME DIRECTION,3
ALBANY PARK,2016,17,TURNING,3
ALBANY PARK,2016,18,ANGLE,5
ALBANY PARK,2016,18,OTHER OBJECT,1
ALBANY PARK,2016,18,PARKED MOTOR VEHICLE,5
ALBANY PARK,2016,18,REAR END,11
ALBANY PARK,2016,18,SIDESWIPE SAME DIRECTION,4
ALBANY PARK,2016,18,TURNING,3
ALBANY PARK,2016,19,PARKED MOTOR VEHICLE,5
ALBANY PARK,2016,19,REAR END,10
ALBANY PARK,2016,19,SIDESWIPE OPPOSITE DIRECTION,1
ALBANY PARK,2016,19,SIDESWIPE SAME DIRECTION,1
ALBANY PARK,2016,19,TURNING,2
ALBANY PARK,2016,20,ANGLE,3
ALBANY PARK,2016,20,PARKED MOTOR VEHICLE,2
ALBANY PARK,2016,20,REAR END,3
ALBANY PARK,2016,20,SIDESWIPE SAME DIRECTION,2
ALBANY PARK,2016,21,ANGLE,1
ALBANY PARK,2016,21,FIXED OBJECT,1
ALBANY PARK,2016,21,PARKED MOTOR VEHICLE,5
ALBANY PARK,2016,21,REAR END,7
ALBANY PARK,2016,21,SIDESWIPE SAME DIRECTION,1
ALBANY PARK,2016,21,TURNING,1
ALBANY PARK,2016,22,ANGLE,1
ALBANY PARK,2016,22,PARKED MOTOR VEHICLE,6
ALBANY PARK,2016,22,TURNING,2
ALBANY PARK,2016,23,ANGLE,1
ALBANY PARK,2016,23,PARKED MOTOR VEHICLE,3
ALBANY PARK,2016,23,REAR END,3
ALBANY PARK,2016,23,SIDESWIPE OPPOSITE DIRECTION,1
ALBANY PARK,2017,0,PARKED MOTOR VEHICLE,14
ALBANY PARK,2017,0,REAR END,6
ALBANY PARK,2017,0,SIDESWIPE SAME DIRECTION,2
ALBANY PARK,2017,0,TURNING,2
ALBANY PARK,2017,1,FIXED OBJECT,1
ALBANY PARK,2017,1,PARKED MOTOR VEHICLE,8
ALBANY PARK,2017,1,PEDALCYCLIST,1
ALBANY PARK,2017,1,PEDESTRIAN,1
ALBANY PARK,2017,1,TURNING,1
ALBANY PARK,2017,2,FIXED OBJECT,1
ALBANY PARK,2017,2,PARKED MOTOR VEHICLE,11
ALBANY PARK,2017,2,REAR END,5
ALBANY PARK,2017,2,SIDESWIPE SAME DIRECTION,1
ALBANY PARK,2017,3,ANGLE,2
ALBANY PARK,2017,3,FIXED OBJECT,1
ALBANY PARK,2017,3,OTHER OBJECT,1
ALBANY PARK,2017,3,PARKED MOTOR VEHICLE,2
ALBANY PARK,2017,3,REAR END,1
ALBANY PARK,2017,3,SIDESWIPE SAME DIRECTION,1
ALBANY PARK,2017,4,ANGLE,3
ALBANY PARK,2017,4,PARKED MOTOR VEHICLE,4
ALBANY PARK,2017,4,REAR END,1
ALBANY PARK,2017,5,ANGLE,1
ALBANY PARK,2017,5,PARKED MOTOR VEHICLE,6
ALBANY PARK,2017,5,REAR END,1
ALBANY PARK,2017,5,SIDESWIPE SAME DIRECTION,2
ALBANY PARK,2017,6,ANGLE,2
ALBANY PARK,2017,6,FIXED OBJECT,1
ALBANY PARK,2017,6,PARKED MOTOR VEHICLE,9
ALBANY PARK,2017,6,PEDESTRIAN,1
ALBANY PARK,2017,6,REAR END,5
ALBANY PARK,2017,6,TURNING,3
ALBANY PARK,2017,7,ANGLE,12
ALBANY PARK,2017,7,HEAD ON,1
ALBANY PARK,2017,7,OTHER OBJECT,2
ALBANY PARK,2017,7,PARKED MOTOR VEHICLE,14
ALBANY PARK,2017,7,PEDALCYCLIST,1
ALBANY PARK,2017,7,PEDESTRIAN,2
ALBANY PARK,2017,7,REAR END,12
ALBANY PARK,2017,7,SIDESWIPE SAME DIRECTION,6
ALBANY PARK,2017,7,TURNING,5
ALBANY PARK,2017,8,ANGLE,5
ALBANY PARK,2017,8,FIXED OBJECT,2
ALBANY PARK,2017,8,PARKED MOTOR VEHICLE,14
ALBANY PARK,2017,8,PEDESTRIAN,1
ALBANY PARK,2017,8,REAR END,16
ALBANY PARK,2017,8,SIDESWIPE SAME DIRECTION,6
ALBANY PARK,2017,8,TURNING,9
ALBANY PARK,2017,9,ANGLE,3
ALBANY PARK,2017,9,PARKED MOTOR VEHICLE,21
ALBANY PARK,2017,9,PEDALCYCLIST,1
ALBANY PARK,2017,9,PEDESTRIAN,2
ALBANY PARK,2017,9,REAR END,2
ALBANY PARK,2017,9,SIDESWIPE SAME DIRECTION,3
ALBANY PARK,2017,9,TURNING,2
ALBANY PARK,2017,10,ANGLE,4
ALBANY PARK,2017,10,PARKED MOTOR VEHICLE,12
ALBANY PARK,2017,10,PEDESTRIAN,1
ALBANY PARK,2017,10,REAR END,7
ALBANY PARK,2017,10,SIDESWIPE SAME DIRECTION,5
ALBANY PARK,2017,10,TURNING,5
ALBANY PARK,2017,11,ANGLE,5
ALBANY PARK,2017,11,HEAD ON,1
ALBANY PARK,2017,11,OTHER OBJECT,1
ALBANY PARK,2017,11,PARKED MOTOR VEHICLE,15
ALBANY PARK,2017,11,PEDALCYCLIST,3
ALBANY PARK,2017,11,PEDESTRIAN,2
ALBANY PARK,2017,11,REAR END,8
ALBANY PARK,2017,11,SIDESWIPE OPPOSITE DIRECTION,1
ALBANY PARK,2017,11,SIDESWIPE SAME DIRECTION,3
ALBANY PARK,2017,11,TURNING,4
ALBANY PARK,2017,12,ANGLE,8
ALBANY PARK,2017,12,HEAD ON,1
ALBANY PARK,2017,12,PARKED MOTOR VEHICLE,17
ALBANY PARK,2017,12,PEDALCYCLIST,2
ALBANY PARK,2017,12,PEDESTRIAN,2
ALBANY PARK,2017,12,REAR END,6
ALBANY PARK,2017,12,SIDESWIPE SAME DIRECTION,4
ALBANY PARK,2017,12,TURNING,5
ALBANY PARK,2017,13,ANGLE,14
ALBANY PARK,2017,13,FIXED OBJECT,2
ALBANY PARK,2017,13,PARKED MOTOR VEHICLE,15
ALBANY PARK,2017,13,PEDESTRIAN,1
ALBANY PARK,2017,13,REAR END,11
ALBANY PARK,2017,13,SIDESWIPE OPPOSITE DIRECTION,1
ALBANY PARK,2017,13,SIDESWIPE SAME DIRECTION,4
ALBANY PARK,2017,13,TURNING,7
ALBANY PARK,2017,14,ANGLE,10
ALBANY PARK,2017,14,HEAD ON,2
ALBANY PARK,2017,14,PARKED MOTOR VEHICLE,10
ALBANY PARK,2017,14,PEDESTRIAN,2
ALBANY PARK,2017,14,REAR END,24
ALBANY PARK,2017,14,SIDESWIPE SAME DIRECTION,7
ALBANY PARK,2017,14,TURNING,10
ALBANY PARK,2017,15,ANGLE,9
ALBANY PARK,2017,15,PARKED MOTOR VEHICLE,19
ALBANY PARK,2017,15,PEDALCYCLIST,3
ALBANY PARK,2017,15,PEDESTRIAN,1
ALBANY PARK,2017,15,REAR END,14
ALBANY PARK,2017,15,SIDESWIPE OPPOSITE DIRECTION,1
ALBANY PARK,2017,15,SIDESWIPE SAME DIRECTION,12
ALBANY PARK,2017,15,TURNING,7
ALBANY PARK,2017,16,ANGLE,7
ALBANY PARK,2017,16,FIXED OBJECT,2
ALBANY PARK,2017,16,PARKED MOTOR VEHICLE,10
ALBANY PARK,2017,16,PEDALCYCLIST,1
ALBANY PARK,2017,16,PEDESTRIAN,2
ALBANY PARK,2017,16,REAR END,10
ALBANY PARK,2017,16,SIDESWIPE SAME DIRECTION,5
ALBANY PARK,2017,16,TURNING,4
ALBANY PARK,2017,17,ANGLE,9
ALBANY PARK,2017,17,FIXED OBJECT,1
ALBANY PARK,2017,17,OTHER OBJECT,1
ALBANY PARK,2017,17,PARKED MOTOR VEHICLE,17
ALBANY PARK,2017,17,PEDALCYCLIST,3
ALBANY PARK,2017,17,REAR END,18
ALBANY PARK,2017,17,SIDESWIPE OPPOSITE DIRECTION,2
ALBANY PARK,2017,17,SIDESWIPE SAME DIRECTION,5
ALBANY PARK,2017,17,TURNING,6
ALBANY PARK,2017,18,ANGLE,10
ALBANY PARK,2017,18,FIXED OBJECT,3
ALBANY PARK,2017,18,HEAD ON,1
ALBANY PARK,2017,18,PARKED MOTOR VEHICLE,15
ALBANY PARK,2017,18,PEDALCYCLIST,3
ALBANY PARK,2017,18,PEDESTRIAN,1
ALBANY PARK,2017,18,REAR END,19
ALBANY PARK,2017,18,SIDESWIPE OPPOSITE DIRECTION,1
ALBANY PARK,2017,18,SIDESWIPE SAME DIRECTION,8
ALBANY PARK,2017,18,TURNING,5
ALBANY PARK,2017,19,ANGLE,8
ALBANY PARK,2017,19,FIXED OBJECT,2
ALBANY PARK,2017,19,OTHER OBJECT,1
ALBANY PARK,2017,19,PARKED MOTOR VEHICLE,17
ALBANY PARK,2017,19,PEDALCYCLIST,2
ALBANY PARK,2017,19,PEDESTRIAN,2
ALBANY PARK,2017,19,REAR END,9
ALBANY PARK,2017,19,SIDESWIPE OPPOSITE DIRECTION,1
ALBANY PARK,2017,19,SIDESWIPE SAME DIRECTION,3
ALBANY PARK,2017,19,TURNING,4
ALBANY PARK,2017,20,ANGLE,1
ALBANY PARK,2017,20,OTHER OBJECT,2
ALBANY PARK,2017,20,PARKED MOTOR VEHICLE,14
ALBANY PARK,2017,20,PEDALCYCLIST,1
ALBANY PARK,2017,20,PEDESTRIAN,1
ALBANY PARK,2017,20,REAR END,7
ALBANY PARK,2017,20,SIDESWIPE SAME DIRECTION,4
ALBANY PARK,2017,20,TURNING,3
ALBANY PARK,2017,21,ANGLE,5
ALBANY PARK,2017,21,FIXED OBJECT,4
ALBANY PARK,2017,21,HEAD ON,1
ALBANY PARK,2017,21,PARKED MOTOR VEHICLE,9
ALBANY PARK,2017,21,PEDESTRIAN,1
ALBANY PARK,2017,21,REAR END,3
ALBANY PARK,2017,21,SIDESWIPE SAME DIRECTION,4
ALBANY PARK,2017,21,TURNING,3
ALBANY PARK,2017,22,ANGLE,1
ALBANY PARK,2017,22,OTHER OBJECT,1
ALBANY PARK,2017,22,PARKED MOTOR VEHICLE,7
ALBANY PARK,2017,22,PEDALCYCLIST,1
ALBANY PARK,2017,22,REAR END,5
ALBANY PARK,2017,22,SIDESWIPE OPPOSITE DIRECTION,1
ALBANY PARK,2017,22,SIDESWIPE SAME DIRECTION,2
ALBANY PARK,2017,22,TURNING,2
ALBANY PARK,2017,23,ANGLE,4
ALBANY PARK,2017,23,HEAD ON,1
ALBANY PARK,2017,23,PARKED MOTOR VEHICLE,9
ALBANY PARK,2017,23,PEDALCYCLIST,1
ALBANY PARK,2017,23,PEDESTRIAN,2
ALBANY PARK,2017,23,REAR END,2
ALBANY PARK,2017,23,TURNING,5
ALBANY PARK,2018,0,ANGLE,2
ALBANY PARK,2018,0,PARKED MOTOR VEHICLE,9
ALBANY PARK,2018,0,PEDALCYCLIST,1
ALBANY PARK,2018,0,PEDESTRIAN,1
ALBANY PARK,2018,0,REAR END,3
ALBANY PARK,2018,0,SIDESWIPE SAME DIRECTION,1
ALBANY PARK,2018,0,TURNING,5
ALBANY PARK,2018,1,ANGLE,4
ALBANY PARK,2018,1,FIXED OBJECT,3
ALBANY PARK,2018,1,HEAD ON,1
ALBANY PARK,2018,1,PARKED MOTOR VEHICLE,11
ALBANY PARK,2018,1,PEDALCYCLIST,1
ALBANY PARK,2018,1,PEDESTRIAN,1
ALBANY PARK,2018,1,REAR END,3
ALBANY PARK,2018,2,FIXED OBJECT,3
ALBANY PARK,2018,2,HEAD ON,1
ALBANY PARK,2018,2,PARKED MOTOR VEHICLE,11
ALBANY PARK,2018,2,REAR END,2
ALBANY PARK,2018,2,SIDESWIPE SAME DIRECTION,2
ALBANY PARK,2018,3,ANGLE,2
ALBANY PARK,2018,3,FIXED OBJECT,4
ALBANY PARK,2018,3,HEAD ON,1
ALBANY PARK,2018,3,PARKED MOTOR VEHICLE,11
ALBANY PARK,2018,3,REAR END,2
ALBANY PARK,2018,4,ANGLE,3
ALBANY PARK,2018,4,PARKED MOTOR VEHICLE,10
ALBANY PARK,2018,4,REAR END,2
ALBANY PARK,2018,5,ANGLE,3
ALBANY PARK,2018,5,FIXED OBJECT,2
ALBANY PARK,2018,5,HEAD ON,1
ALBANY PARK,2018,5,PARKED MOTOR VEHICLE,10
ALBANY PARK,2018,5,PEDESTRIAN,1
ALBANY PARK,2018,5,REAR END,3
ALBANY PARK,2018,5,SIDESWIPE SAME DIRECTION,1
ALBANY PARK,2018,5,TURNING,2
ALBANY PARK,2018,6,ANGLE,2
ALBANY PARK,2018,6,FIXED OBJECT,1
ALBANY PARK,2018,6,PARKED MOTOR VEHICLE,18
ALBANY PARK,2018,6,PEDESTRIAN,1
ALBANY PARK,2018,6,REAR END,7
ALBANY PARK,2018,6,SIDESWIPE OPPOSITE DIRECTION,1
ALBANY PARK,2018,6,SIDESWIPE SAME DIRECTION,2
ALBANY PARK,2018,6,TURNING,3
ALBANY PARK,2018,7,ANGLE,14
ALBANY PARK,2018,7,FIXED OBJECT,1
ALBANY PARK,2018,7,PARKED MOTOR VEHICLE,25
ALBANY PARK,2018,7,PEDALCYCLIST,2
ALBANY PARK,2018,7,PEDESTRIAN,1
ALBANY PARK,2018,7,REAR END,15
ALBANY PARK,2018,7,SIDESWIPE OPPOSITE DIRECTION,4
ALBANY PARK,2018,7,SIDESWIPE SAME DIRECTION,12
ALBANY PARK,2018,7,TURNING,8
ALBANY PARK,2018,8,ANGLE,15
ALBANY PARK,2018,8,FIXED OBJECT,1
ALBANY PARK,2018,8,OTHER OBJECT,1
ALBANY PARK,2018,8,PARKED MOTOR VEHICLE,21
ALBANY PARK,2018,8,PEDALCYCLIST,1
ALBANY PARK,2018,8,PEDESTRIAN,4
ALBANY PARK,2018,8,REAR END,24
ALBANY PARK,2018,8,SIDESWIPE OPPOSITE DIRECTION,4
ALBANY PARK,2018,8,SIDESWIPE SAME DIRECTION,8
ALBANY PARK,2018,8,TURNING,14
ALBANY PARK,2018,9,ANGLE,7
ALBANY PARK,2018,9,FIXED OBJECT,3
ALBANY PARK,2018,9,PARKED MOTOR VEHICLE,27
ALBANY PARK,2018,9,PEDESTRIAN,1
ALBANY PARK,2018,9,REAR END,8
ALBANY PARK,2018,9,SIDESWIPE OPPOSITE DIRECTION,3
ALBANY PARK,2018,9,SIDESWIPE SAME DIRECTION,8
ALBANY PARK,2018,9,TURNING,6
ALBANY PARK,2018,10,ANGLE,10
ALBANY PARK,2018,10,PARKED MOTOR VEHICLE,27
ALBANY PARK,2018,10,PEDALCYCLIST,1
ALBANY PARK,2018,10,PEDESTRIAN,1
ALBANY PARK,2018,10,REAR END,8
ALBANY PARK,2018,10,SIDESWIPE OPPOSITE DIRECTION,1
ALBANY PARK,2018,10,SIDESWIPE SAME DIRECTION,5
ALBANY PARK,2018,10,TURNING,7
ALBANY PARK,2018,11,ANGLE,10
ALBANY PARK,2018,11,FIXED OBJECT,4
ALBANY PARK,2018,11,PARKED MOTOR VEHICLE,19
ALBANY PARK,2018,11,PEDALCYCLIST,1
ALBANY PARK,2018,11,REAR END,5
ALBANY PARK,2018,11,SIDESWIPE OPPOSITE DIRECTION,2
ALBANY PARK,2018,11,SIDESWIPE SAME DIRECTION,8
ALBANY PARK,2018,11,TURNING,11
ALBANY PARK,2018,12,ANGLE,18
ALBANY PARK,2018,12,FIXED OBJECT,2
ALBANY PARK,2018,12,OTHER OBJECT,1
ALBANY PARK,2018,12,PARKED MOTOR VEHICLE,23
ALBANY PARK,2018,12,PEDESTRIAN,3
ALBANY PARK,2018,12,REAR END,19
ALBANY PARK,2018,12,SIDESWIPE SAME DIRECTION,7
ALBANY PARK,2018,12,TURNING,14
ALBANY PARK,2018,13,ANGLE,13
ALBANY PARK,2018,13,FIXED OBJECT,1
ALBANY PARK,2018,13,HEAD ON,1
ALBANY PARK,2018,13,PARKED MOTOR VEHICLE,28
ALBANY PARK,2018,13,REAR END,16
ALBANY PARK,2018,13,SIDESWIPE SAME DIRECTION,13
ALBANY PARK,2018,13,TURNING,11
ALBANY PARK,2018,14,ANGLE,7
ALBANY PARK,2018,14,FIXED OBJECT,1
ALBANY PARK,2018,14,OTHER NONCOLLISION,1
ALBANY PARK,2018,14,PARKED MOTOR VEHICLE,15
ALBANY PARK,2018,14,PEDALCYCLIST,5
ALBANY PARK,2018,14,PEDESTRIAN,2
ALBANY PARK,2018,14,REAR END,17
ALBANY PARK,2018,14,SIDESWIPE OPPOSITE DIRECTION,4
ALBANY PARK,2018,14,SIDESWIPE SAME DIRECTION,8
ALBANY PARK,2018,14,TURNING,9
ALBANY PARK,2018,15,ANGLE,10
ALBANY PARK,2018,15,FIXED OBJECT,2
ALBANY PARK,2018,15,HEAD ON,1
ALBANY PARK,2018,15,OTHER NONCOLLISION,1
ALBANY PARK,2018,15,PARKED MOTOR VEHICLE,22
ALBANY PARK,2018,15,PEDALCYCLIST,6
ALBANY PARK,2018,15,PEDESTRIAN,1
ALBANY PARK,2018,15,REAR END,17
ALBANY PARK,2018,15,SIDESWIPE OPPOSITE DIRECTION,2
ALBANY PARK,2018,15,SIDESWIPE SAME DIRECTION,10
ALBANY PARK,2018,15,TURNING,8
ALBANY PARK,2018,16,ANGLE,10
ALBANY PARK,2018,16,FIXED OBJECT,2
ALBANY PARK,2018,16,HEAD ON,1
ALBANY PARK,2018,16,OTHER OBJECT,1
ALBANY PARK,2018,16,PARKED MOTOR VEHICLE,18
ALBANY PARK,2018,16,PEDALCYCLIST,1
ALBANY PARK,2018,16,PEDESTRIAN,1
ALBANY PARK,2018,16,REAR END,19
ALBANY PARK,2018,16,SIDESWIPE SAME DIRECTION,14
ALBANY PARK,2018,16,TURNING,8
ALBANY PARK,2018,17,ANGLE,4
ALBANY PARK,2018,17,FIXED OBJECT,4
ALBANY PARK,2018,17,PARKED MOTOR VEHICLE,16
ALBANY PARK,2018,17,PEDALCYCLIST,2
ALBANY PARK,2018,17,PEDESTRIAN,3
ALBANY PARK,2018,17,REAR END,28
ALBANY PARK,2018,17,SIDESWIPE SAME DIRECTION,10
ALBANY PARK,2018,17,TURNING,18
ALBANY PARK,2018,18,ANGLE,9
ALBANY PARK,2018,18,FIXED OBJECT,4
ALBANY PARK,2018,18,PARKED MOTOR VEHICLE,22
ALBANY PARK,2018,18,PEDALCYCLIST,4
ALBANY PARK,2018,18,PEDESTRIAN,5
ALBANY PARK,2018,18,REAR END,15
ALBANY PARK,2018,18,SIDESWIPE SAME DIRECTION,9
ALBANY PARK,2018,18,TURNING,7
ALBANY PARK,2018,19,ANGLE,4
ALBANY PARK,2018,19,ANIMAL,1
ALBANY PARK,2018,19,FIXED OBJECT,1
ALBANY PARK,2018,19,HEAD ON,1
ALBANY PARK,2018,19,OTHER OBJECT,1
ALBANY PARK,2018,19,PARKED MOTOR VEHICLE,14
ALBANY PARK,2018,19,PEDALCYCLIST,5
ALBANY PARK,2018,19,PEDESTRIAN,5
ALBANY PARK,2018,19,REAR END,10
ALBANY PARK,2018,19,SIDESWIPE SAME DIRECTION,9
ALBANY PARK,2018,19,TURNING,6
ALBANY PARK,2018,20,ANGLE,3
ALBANY PARK,2018,20,ANIMAL,1
ALBANY PARK,2018,20,FIXED OBJECT,2
ALBANY PARK,2018,20,OTHER NONCOLLISION,1
ALBANY PARK,2018,20,OTHER OBJECT,1
ALBANY PARK,2018,20,PARKED MOTOR VEHICLE,18
ALBANY PARK,2018,20,PEDALCYCLIST,2
ALBANY PARK,2018,20,PEDESTRIAN,5
ALBANY PARK,2018,20,REAR END,5
ALBANY PARK,2018,20,SIDESWIPE SAME DIRECTION,3
ALBANY PARK,2018,20,TURNING,6
ALBANY PARK,2018,21,ANGLE,4
ALBANY PARK,2018,21,HEAD ON,1
ALBANY PARK,2018,21,PARKED MOTOR VEHICLE,10
ALBANY PARK,2018,21,PEDALCYCLIST,2
ALBANY PARK,2018,21,PEDESTRIAN,6
ALBANY PARK,2018,21,REAR END,13
ALBANY PARK,2018,21,SIDESWIPE OPPOSITE DIRECTION,1
ALBANY PARK,2018,21,SIDESWIPE SAME DIRECTION,4
ALBANY PARK,2018,21,TURNING,4
ALBANY PARK,2018,22,ANGLE,2
ALBANY PARK,2018,22,FIXED OBJECT,2
ALBANY PARK,2018,22,OTHER OBJECT,2
ALBANY PARK,2018,22,PARKED MOTOR VEHICLE,10
ALBANY PARK,2018,22,PEDALCYCLIST,1
ALBANY PARK,2018,22,PEDESTRIAN,1
ALBANY PARK,2018,22,REAR END,7
ALBANY PARK,2018,22,SIDESWIPE SAME DIRECTION,3
ALBANY PARK,2018,22,TURNING,3
ALBANY PARK,2018,23,ANGLE,4
ALBANY PARK,2018,23,FIXED OBJECT,3
ALBANY PARK,2018,23,PARKED MOTOR VEHICLE,12
ALBANY PARK,2018,23,PEDALCYCLIST,1
ALBANY PARK,2018,23,REAR END,8
ALBANY PARK,2018,23,SIDESWIPE OPPOSITE DIRECTION,1
ALBANY PARK,2018,23,SIDESWIPE SAME DIRECTION,1
ALBANY PARK,2019,0,ANGLE,2
ALBANY PARK,2019,0,FIXED OBJECT,1
ALBANY PARK,2019,0,HEAD ON,1
ALBANY PARK,2019,0,PARKED MOTOR VEHICLE,13
ALBANY PARK,2019,0,PEDESTRIAN,1
ALBANY PARK,2019,0,REAR END,2
ALBANY PARK,2019,0,REAR TO FRONT,1
ALBANY PARK,2019,0,SIDESWIPE SAME DIRECTION,2
ALBANY PARK,2019,0,TURNING,2
ALBANY PARK,2019,1,ANGLE,1
ALBANY PARK,2019,1,PARKED MOTOR VEHICLE,13
